umhlaba	u m hlaba
kwamabili	kw a ma bili
unozimanga	u n o zi manga
akasethathwe	a ka se thath w e
ngangilithatha	ng a ngi li thath a
abesibeke	a b e si bek e
kwathathwa	kw a thath w a
lizobalibi	li zo b a li bi
kuphilwa	ku phil w a
kuyiphunyuka	ku yi phunyuk a
ngiyomenza	ngi yo m enz a
kanje	ka nje
kungakakhulunywa	ku nga ka khuluny w a
engakhumuzeki	e nga khumuz ek i
ikhishi	ikhishi
imlandisa	i m land is a
linikeza	li nikez a
seligqunqe	se li gqunq e
ngiyozikhunga	ngi yo zi khung a
siqalephi	si qal e phi
ulingene	u ling en e
ongalena	o nga le na
usikhuni	u si khuni
kokungabaza	k o ku nga baz a
bekuyizolo	be ku y izolo
ngazibuza	ng a zi buz a
leliya	le li ya
ukumbheka	u ku m bhek a
ukuyilanda	u ku yi land a
uzophaphama	u zo phapham a
uchaze	u chaz e
kuyacaca	ku ya cac a
sabamba	s a bamb a
ngoqhotho	ng o qhotho
konakele	k on akel e
bangiqamba	ba ngi qamb a
engayifundi	e nga yi fund i
elizayo	e li z a yo
angiyifuni	a ngi yi fun i
uboysie	u boysie
umfo	u m fo
ngokuzama	ng o ku zam a
asengizonda	a se ngi zond a
ngezamaqhawe	ng e z a ma qhawe
ngoduma	ng o duma
wazibuza	w a zi buz a
obehlela	o be hlel a
amahlanu	a ma hlanu
wayithanda	w a yi thand a
iloli	i loli
wayolunguza	w a yo lunguz a
sengithe	se ngi th e
nakho	na kh o
ngizohlanganisa	ngi zo hlangan is a
sengithi	se ngi thi
ezilile	e zi lil e
nakhu	na khu
izinsukwana	i zin sukw ana
ozayo	o z a yo
ibuzwa	i buz w a
womgexo	w o m gexo
uyalazi	u ya l azi
walanda	w a land a
ngabe	ngabe
uholelwa	u hol el w a
egugwini	e gugw ini
zikanokusho	zika no ku sho
wamshumpula	w a m shumpul a
mabaxoshwe	ma ba xosh w e
kwakukhona	kw a ku kho na
kungemakhaza	ku nge makhaza
ake	ake
inkunzi	i n kunzi
yompucuko	y o m pucuk o
wawungaqondanga	w a wu nga qond anga
lendlovukazi	l e n dlovu kazi
abaphe	a ba ph e
esangweni	e sangw eni
angiboni	a ngi bon i
usayicabanga	u sa yi cabang a
kuzobola	ku zo bol a
zokuhambisa	z o ku hamb is a
kabani	ka bani
sekonakele	se k on akel e
akusavumi	a ku sa vum i
abizwe	a biz w e
kulikolikoza	ku liko likoz a
enje	e nje
iyolanda	i yo land a
linamasi	li n a ma si
enzima	e nzima
ingazi	i ng azi
ibulale	i bulal e
klwi	klwi
ushoti	u shot i
angezi	a ng ez i
bayinkinga	ba y i n kinga
okusemoyeni	o ku se moy eni
bafanelana	ba fan el an a
bakwajosefa	ba kwa josefa
wayofunani	w a yo fun a ni
ezelwe	e zel w e
kudida	ku did a
sizosizakala	si zo siz akal a
uqaphele	u qaphel e
kwabe	kw a b e
kwaba	kw a b a
zihle	zihle
seyibabizile	se yi ba biz ile
zimumethe	zi mumeth e
kwabo	kwa bo
azomkhulekela	a zo m khul ek el a
limkhomba	li m khomb a
ibabonile	i ba bon ile
wakukhohlwa	w a ku khohl w a
kwaconsa	kw a cons a
angidonswanga	a ngi dons w anga
balemukela	ba l emuk el a
athathe	a thath e
kulukhuni	ku lukhuni
wangibuza	w a ngi buz a
izomehlula	i zo m ehlul a
yaqhwisha	y a qhwish a
axoxe	a xox e
wabingelela	w a bingelel a
awekho	a w ekho
unhlengethwa	u nhlengethwa
bammbela	ba m mb el a
engome	e ngom e
ngenhliziyo	ng e n hliziyo
usabuya	u sa buy a
uzokhala	u zo khal a
insika	i n sika
nondlela	n o n dlela
ngesipikiyana	ng e si pikiy ana
yodwa	yo dwa
sekuzokusa	se ku zo ku s a
ungathi	u nga thi
safa	s a f a
bexhunywe	be xhuny w e
bayofika	ba yo fik a
wayehlezi	w a ye hlez i
isibhedlela	i si bhedlela
bani	bani
izingane	i zin gane
izinyawo	i zi nyawo
banezinduna	ba n e zin duna
mehlo	me hlo
lakithi	la ki thi
zabo	za bo
zabe	z a b e, z ab e
ngikhuluma	ngi khulum a
okusizayo	o ku siz a yo
nesokuxoxa	n e s o ku xox a
ushiye	u shiy e
ngisakhathele	ngi sa khathel e
izimfanelo	i zim fan el o
sengidelile	se ngi del ile
esephindaphinda	e se phind a phind a
uyamvikela	u ya m vik el a
uzophuma	u zo phum a
ukukhunjuzwa	u ku khunjuz w a
egibithe	e gibithe
kwakunganakiwe	kw a ku nga nak iw e
yezilimi	y e zi limi
ubhasikidi	u bhasikidi
ebuhlungu	e buhlungu
nginemali	ngi n e mali
asabe	a sab e
wasimze	w a simze
ngakhumbula	ng a khumbul a
kusetshenzwe	ku setshenz w e
nezidumile	n e zi dum ile
namapotimende	n a ma potimende
ebhasini	e bhas ini
kufinyaniseke	ku finyan is e ke
wagcwala	w a gcwal a
ngikhonzeleni	ngi khonz el e ni
ngibahlupha	ngi ba hluph a
kokusebenzisa	k o ku sebenz is a
kwakuze	kw a ku z e
kukhanye	ku khany e
nabantwana	n a ba ntwana, n a ba ntw ana
okungesiyona	o ku nge si yo na
kwammisa	kw a m mis a
zangena	z a ngen a
izinqola	i zin qola
wafikelwa	w a fik el w a
yizona	yi zo na
unengalo	u n e n galo
useyasukuma	u se ya sukum a
kuphi	ku phi
bamila	ba mil a
nezitha	n e zi tha
ungangenzi	u nga ng enz i
esenqotshiwe	e se nqotsh iw e
efilidi	e filidi
esekhona	e se kho na
kwesango	kw e sango
angakapholi	a nga ka phol i
anginamali	a ngi na mali
angamshaya	a nga m shay a
umthetho	u mthetho
lezozinto	le z o zin to
sawabona	s a wa bon a
ulifundile	u li fund ile
impilo	i m pil o
zikhathele	zi khathel e
bebe	be b e
yangiphazamisa	y a ngi phazam is a
wasikhokhela	w a si khokh el a
nibona	ni bon a
ukusola	u ku sol a
alomisile	a lom is ile
igama	i gama
abafuna	a ba fun a, a b a fun a
umthamo	u m thamo
ayesebenza	a ye sebenz a
ezihlathini	e zi hlath ini
lula	lul a
yakhohlakala	y a khohl akal a
siseyizitha	si se y i zi tha
eyithulisa	e y ithul is a
angigculiswa	a ngi gcul is w a
ishunqa	i shunq a
zimbi	zim bi
awuqambi	a wu qamb i
alale	a lal e
inkentshane	i n kentshane
sizokufundisa	si zo ku fund is a
sishishilize	si shishiliz e
enquthu	e nquthu
meromo	meromo
ukumluma	u ku m lum a
utajewo	u tajewo
izinsuku	i zin suku
kubiza	ku biz a
ongasonti	o nga sont i
ayozibongela	a yo zi bong el a
usunje	usunje
umugqa	u mu gqa
ihluthule	i hluthul e
ukubonana	u ku bon an a
kunqwaha	ku nqwah a
nalena	na le na
gwababa	gwababa
ukuhamba	u ku hamb a
okobuso	o k o bus o
abangazange	a ba nga zange
akasenakubuya	a ka se na ku buy a
elingumamba	e li ng u mamba
inyanga	i nyanga
eyagcwala	e ya gcwal a
amabutho	a ma buth o
angiyiqondi	a ngi yi qond i
lokuxolisa	l o ku xol is a
liyabatshela	li ya ba tshel a
ephenya	e pheny a
bayithanda	ba yi thand a, b a yi thand a
yomoya	y o moya
ngimqhatha	ngi m qhath a
du	du
lesi	le si
namafutha	n a ma futha
oweqela	o w eq el a
kwacweba	kw a cweb a
eliyinto	e li y i n to
ukuma	u ku m a
emi	e m i
kungeyezikhulu	ku ng e y e zi khulu
esesho	e se sho
bagadwe	ba gad w e
nasembumbulu	na se mbumbulu
untombini	u n tombi ni
ngingayibhalisa	ngi nga yi bhal is a
eningayithola	e ni nga yi thol a
angene	a ngen e
ukwazi	u kw azi
ukhamba	u khamba
levodka	l e vodka
ukufundisa	u ku fund is a
mabaholwe	ma ba hol w e
ngikuzwa	ngi ku zw a
omnyama	o mnyama
nyanga	nyanga
babengasasithakaseli	ba be nga sa si thakas el i
ihlale	i hlal e
we	we
awushude	a wu shud e
wo	wo
sekumele	se ku m el e
baphendule	ba phendul e
ozokhathazeka	o zo khathaz ek a
ukovakashela	u ko vakashel a
isiya	i s i y a
ukuphuma	u ku phum a
isiye	i s i y e
sengaphupha	se ng a phuph a
wabuka	w a buk a
qwayi	qwayi
okhulekayo	o khul ek a yo
ukubumbeka	u ku bumb ek a
kungafiwa	ku nga f iw a
udolly	u dolly
ningamagwala	ni ng a ma gwala
isithembu	i si thembu
esejulukiswa	e se juluk is w a
bayigqibela	ba yi gqibel a
babika	ba bik a
ukutholakala	u ku tholakal a
oqhuma	o qhum a
ukungena	u ku ngen a
kuligwala	ku li gwala
ongizalayo	o ngi zal a yo
uzomthola	u zo m thol a
nomahhohlohhohlo	n o ma hhohlo hhohlo
ngizobheka	ngi zo bhek a
ulengisa	u leng is a
sekukade	se ku kade
kayinasikhathi	ka yi na si khathi
abakabuthwa	a ba ka buth w a
akuzange	a ku zange
imihlola	i mi hlola
impicabadala	i m pic a ba dala
ngokushabalala	ng o ku shabalal a
akusizanga	a ku siz anga
akunjena	a ku nje na
ongalungile	o nga lung ile
ukuyibona	u ku yi bon a
elihle	e li hle
bazokulwa	ba zo ku lw a
usungabona	u s u nga bon a
usipho	u si ph o
elalibuka	e l a li buk a
ziningi	zi ningi
nemali	n e mali
avamise	a vamis e
nocela	n o cel a
kushuduzwe	ku shuduz w e
ujahile	u jah ile
esitolo	e si tolo
kazisakunakile	ka zi sa ku nak ile
sekuhlahle	se ku hlahl e
sivulele	si vul el e
sakhe	sa khe
bazoke	ba zo ke
bazoyiphatha	ba zo yi phath a
esikoleni	e si kol eni
sakho	sa kho
umbelesele	u m belesel e
zijaha	zi jah a
zizolunga	zi zo lung a
zalukazi	z alu kazi
owayemsize	o w a ye m siz e
ibhubesi	i bhubesi
phumani	phum a ni
ukukwenza	u ku kw enz a
thu	thu
ngingajabula	ngi nga jabul a
kayisekho	ka yi se kho
kunotom	kun o tom
nomuntu	n o mu ntu
kugitshelwa	ku gitshel w a
emfume	e mfume
makathule	ma ka thul e
abitoze	a bitoz e
ngiyabonga	ngi ya bong a
ayikamethembi	a yi ka m ethemb i
ameme	a mem e
ngiphindele	ngi phind el e
ubonani	u bon a ni
icabanga	i cabang a
ushonile	u shon ile
imigqa	i mi gqa
ngayibona	ng a yi bon a
ngakhela	ng akh el a
nguthisha	ng u thisha
leyomithi	le y o mi thi
enamathambo	e n a ma thambo
maye	maye
useyifundile	u se yi fund ile
elalihamba	e l a li hamb a
uvula	u vul a
ababeke	a ba bek e
silahle	si lahl e
ibehlele	i be hlel e
bangamboni	ba nga m bon i
kwahlwa	kw a hlw a
kuphathwa	ku phath w a
satholana	s a thol an a
ngiyeka	ngi yek a
ngiyeke	ngi yek e
altare	altare
yabangwa	y a bang w a
ubhekile	u bhek ile
kweso	kw e so
bahlala	ba hlal a
zisashaywa	zi sa shay w a
kuyadabukisa	ku ya dabuk is a
wazinza	w a zinz a
emibili	e mi bili
sengihlabene	se ngi hlab en e
yiqiniso	y i qinis o
kulelihlathi	ku le li hlathi
ngumbhulelo	ng u m bhul el o
umasibisi	u masibisi
eqinisweni	e qin is w eni
akhohlwe	a khohl w e
nedlulisele	n edlul is el e
lubasiza	lu ba siz a
esaphila	e sa phil a
indawo	i n dawo
bayakubalekela	ba ya ku balekel a
esehlezi	e se hlez i
yesibili	y e si bili
sikubona	si ku bon a
ungathola	u nga thol a
onganyamalala	o nga nyamalal a
bebemcuphile	be be m cuph ile
bazobona	ba zo bon a
ethule	e thul e
asethuse	a s ethus e
amathoshi	a ma thoshi
okuqhubekayo	o ku qhub ek a yo
ikhefu	i khefu
ngenzeni	ng enz e ni
siyakuthanda	si ya ku thand a
esaqede	e sa qed e
abhalisele	a bhal is el e
bangayiphazamisi	ba nga yi phazam is i
intoni	i n toni
izithonto	i zi thont o
sekhaya	se khaya
wayengaboni	w a ye nga bon i
lokhuya	lo khu ya
uyawabuka	u ya wa buk a
zisekhona	zi se kho na
angibambela	a ngi bamb el a
etafuleni	e taful eni
lesosikhathi	le s o si khathi
asezisefweni	a se zi sefw eni
yaseqhudeni	ya se qhud eni
iduku	i duku
sikanina	sika nina
ngizomfica	ngi zo m fic a
osefile	o se f ile
ihlangene	i hlangen e
lezizinto	le zi zin to
yetafula	y e tafula
nakwamanye	n a kw a ma nye
umculo	u m cul o
kuyokusa	ku yo ku s a
yilapho	yi lapho
ngakulahla	nga ku lahl a
ngangingengedwa	ng a ngi nge nge dwa
ayiwela	a yi wel a
yilapha	yi lapha
ukuvuka	u ku vuk a
nanye	na nye
akukhumbule	a ku khumbul e
kayikho	ka yi kho
uyancishana	u ya ncish an a
owabulala	o w a bulal a
wayengaphila	w a ye nga phil a
ngalazi	ng a l azi
yokuhamba	y o ku hamb a
abangazazi	a ba nga zaz i
esexoshwe	e se xosh w e
nihlale	ni hlal e
zanqwabelana	z a nqwabel an a
endleleni	e n dlel eni
nixoxa	ni xox a
onje	o nje
ubekwa	u bek w a
ndodana	n dod ana
ngokuba	ng o ku b a
abesesizakele	a be se si zakele
ongenakuphikwa	o nge na ku phik w a
kabalethi	ka ba leth i
ukuphazanyiswa	u ku phazany is w a
uqhamuka	u qhamuk a
ngilinde	ngi lind e
nagqubu	na gqubu
wanikela	w a nik el a
abavame	a ba vam e
ozomelwa	o zo m el w a
ngagana	ng a gan a
uyowuthathaphi	u yo wu thath a phi
impumelelo	i m pumelel o
nakubheka	na ku bhek a
nozwide	n o zwide
yakwabo	ya kwa bo
sengiyibeka	se ngi yi bek a
kawuguqukanga	ka wu guquk anga
ephambi	e phambi
zona	zo na
nhloboni	n hlobo ni
uqinisa	u qin is a
emakethe	e makethe
uthuthuva	u thuthuv a
kadambe	ka dambe
kufuneka	ku fun ek a
elihlola	e li hlol a
ebhekephi	e bhek e phi
wasukuma	w a sukum a
baphinde	ba phind e
ungakhali	u nga khal i
umakoti	u makoti
ngisho	ngi sho
ezimbili	e zim bili
udaliwe	u dal iw e
ekugcineni	e ku gcin eni
isifuba	i si fuba
wayesenovalo	w a ye se n o valo
kumazulu	ku ma zulu
athini	a thi ni
ubedlala	u be dlal a
esachitha	e sa chith a
ukuzifihla	u ku zi fihl a
ngathubeleza	ng a thubelez a
ukuhlanzeka	u ku hlanz ek a
senishayele	se ni shay el e
sinqakisane	si nqak is an e
sekukhala	se ku khal a
osekungene	o se ku ngen e
ukuqagela	u ku qagel a
anginazihlobo	a ngi na zi hlobo
ngamadolo	ng a ma dolo
lezizimpahla	le zi zim pahla
ithini	i thi ni
izoshonela	i zo shon el a
eyayikusho	e y a yi ku sho
ngidabukela	ngi dabuk el a
ukudakwa	u ku dak w a
ungaphla	u ngaphla
iphuzu	i phuzu
ungundwandwe	u ngundwandwe
naloya	na lo ya
babegqigqizela	b a be gqigqiz el a
uhluphile	u hluph ile, u hluphil e
intekentekana	i n tekentek ana
eke	e ke
uhlezi	u hlez i
impesheni	i m pesheni
mibili	mi bili
usefile	u se f ile
beyiphethe	be yi pheth e
liyagxuma	li ya gxum a
nyoka	nyoka
ezama	e zam a
uyisithandwa	u y i si thand w a
uze	u z e
kwakungekho	kw a ku nge kho
kokudingekile	k o ku ding ek ile
kwezami	kw e za mi
sengifile	se ngi f ile
awusho	a wu sho
useyoyivula	u se yo yi vul a
efana	e fan a
imbone	i m bon e
ephuza	e phuz a
wawulibonephi	w a wu li bon e phi
zithathe	zi thath e
ababengase	a ba be nga se
eziningi	e zi ningi
yanamuhla	ya namuhla
ngisalenza	ngi sa l enz a
izindawo	i zin dawo
sengiyasukuma	se ngi ya sukum a
wemuka	w emuk a
elabe	e labe
kangakanani	ka ngaka na ni
uchithimpi	u chith i m pi
yabalindi	y a ba lind i
siphila	si phil a
badleni	ba dl e ni
wagoba	w a gob a
akathandanga	a ka thand anga
ibe	i b e
wangabe	w angabe
sinengozi	si n e n gozi
qede	qede
kwashiwo	kw a sh iw o
ebheke	e bhek e
kuloluhambo	ku lo lu hamb o
enwaya	e nway a
wacabanga	w a cabang a
yayibangenile	y a yi ba ngen ile
aseqhubeka	a se qhub ek a
yizikhathi	y i zi khathi
kwelakithi	kw e la ki thi
bayafika	ba ya fik a
kunatana	ku natana
ukudliwa	u ku dl iw a
sifukamela	si fukam el a
beseyiziswambithi	be se y i zi swambithi
uzozikhunga	u zo zi khung a
ezenziwa	e z enz iw a
kabuhlungu	ka buhlungu
sibamba	si bamb a
abadukisa	a b a duk is a, a ba duk is a
iyokwethulwa	i yo kw ethul w a
waciba	w a cib a
usebenza	u sebenz a
enanikhuluma	e n a ni khulum a
emithathu	e mi thathu
angasho	a nga sho
wokuhamba	w o ku hamb a
usesebaleni	u se se bal eni
olufundiswayo	o lu fund is w a yo
yangqofa	y a ngqof a
ayenzayo	a y enz a yo
ngebhokisi	ng e bhokisi
ngingasafuni	ngi nga sa fun i
bayatatazela	ba ya tataz el a
iziphukuphuku	i zi phuku phuku
nosizayo	n o siz a yo
wabonga	w a bong a
ehlezi	e hlez i
ehlushwa	e hlush w a
omhlophe	o mhlophe
nedelelekile	n e del el ek ile
abebezivakashele	a be be zi vakash el e
ukuphela	u ku phel a
niyoyikhipha	ni yo yi khiph a
yami	ya mi
efunwa	e fun w a
yathula	y a thul a
kayithandwa	ka yi thand w a
usethuthile	u se thuth ile
sengihleli	se ngi hlel i
mkhulu	m khulu
azifisayo	a zi fis a yo
zobusha	z o bu sha
ukugoba	u ku gob a
awebhubesi	a w e bhubesi
yawukhomba	y a wu khomb a
wona	w on a, wo na
sengicabangisisa	se ngi cabang isis a
uthengelwe	u theng el w e
ilaphaya	i laphaya
kwakuyigama	kw a ku y i gama
sengikade	se ngi kade
nalamadoda	na la ma doda
esimphethe	e si m pheth e
abonakale	a bon akal e
aphiphithe	a phiphith e
uyazibuza	u ya zi buz a
namabhantshi	n a ma bhantshi
umfundisi	u m fund is i
nasethaya	na se thaya
angabulawa	a nga bula w a
belobiza	be lobiz a
emthoba	e m thob a
yokuthi	y o kuthi
ngimazelaphi	ngi m az el a phi
nokuguqula	n o ku guqul a
lalisukela	l a li suk el a
ihlakaniphe	i hlakaniph e
uwalungisela	u wa lung is el a
kusolasoleke	ku sola sol ek e
ephapheme	e phaphem e
kayiyazi	ka yi y azi
nendoda	n e n doda
kawufani	ka wu fan i
ngokwethuka	ng o kw ethuk a
akhethe	a kheth e
wazinika	w a zi nik a
ukunqobile	u ku nqob ile
ngingadlula	ngi nga dlul a
ngangingezuphumelela	ng a ngi nge zu phumelel a
bayezwelana	ba y ezw el an a
zenze	z enz e
noyihlo	n o yihlo
isikhumba	i si khumba
bafanele	ba fanel e
usagcwele	u sa gcwel e
nesenyathi	n e s e nyathi
onomoya	o n o moya
ukulibona	u ku li bon a
kangisenamali	ka ngi se na mali
siza	si z a
size	si z e
angisafuni	a ngi sa fun i
ngendlela	ng e n dlela
ibangana	i bang an a
izibuko	i zi buk o
usuyayazi	u s u ya y azi
siyokubeka	si yo ku bek a
kusemqoka	ku se m qoka
namadikoni	na ma dikoni
ulamana	u lam an a
esithi	e si thi
uyibhekisisa	u yi bhek isis a
eseyedwa	e se ye dwa
saze	s a z e
nezindlovu	n e zin dlovu
lenkulumo	l e n kulum o, le n kulum o
insimbi	i n simbi
njengomuntu	njeng o mu ntu
eyongena	e yo ngen a
uyazi	u y azi
abalinde	a ba lind e
asebemphuzisile	a se be m phuz is ile
ephuthumisa	e phuthum is a
ngagudaza	ng a gudaz a
kokuthi	k o kuthi
bezeki	b e zeki
ukuphi	u ku phi
amagama	a ma gama
hlobo	hlobo
emakhaya	e ma khaya
kuyofezeka	ku yo fez ek a
siqonde	si qond e
loku	lo ku
ayenyathela	a ye nyathel a
loko	lo k o
kwabasengathi	kw a b a sengathi
kusangithatha	ku sa ngi thath a
esheshe	e shesh e
ecabanga	e cabang a
isilapha	isilapha
isheshe	i shesh e
kanyekanye	ka nye ka nye
ebusuku	e bu suku
bomkhwenyane	b o m khwenyane
mabangene	ma ba ngen e
iwasekhaya	i wa se khaya
ngizosho	ngi zo sho
akade	a kade
ukoma	u k om a
angase	a nga se
udinga	u ding a
sekuthathwa	se ku thath w a
lamazwi	l a ma zw i
sasihlala	s a si hlal a
alindele	a lind el e
ukuze	ukuze, u kuze
ongibulalayo	o ngi bu lal a yo
ukuza	u ku z a
okonakele	o k on akel e
abantababantu	a ba nta b a ba ntu
konje	konje
kumelwe	ku m el w e
sokuyinakekela	s o ku yi nak ek el a
uphakathwayo	u phakath w a yo
usuyakwazi	u s u ya kw azi
zathi	z a thi
wayikhomba	w a yi khomb a
lemali	le mali
sebuphelile	se bu phel ile
ukungalumi	u ku nga lum i
nomfanyana	n o m fany ana
nabakwansinyane	n a ba kwa nsinyane
akhale	a khal e
ibona	i bon a
kucishe	ku cishe
nalo	na lo
ziwudaka	ziwudaka
umgcinisikhwama	u mgcinisikhwama
yokugezela	y o ku gez el a
isibhala	i s i bhal a
bazi	b azi
yinto	y i n to
unenhlanhla	u n e n hlanhla
angayingeni	a nga yi ngen i
ungwenya	u ngwenya
ayalazi	a ya l azi
ezibukela	e zi bukel a
unayikosiyayi	u na y i kosi ya yi
azo	a zo
kwehle	kw ehl e
ecubungula	e cubungul a
kwehla	kw ehl a
nenyoni	n e nyoni
wathula	w a thul a
onyonyoba	o nyonyob a
ulale	u lal e
nasendleleni	na se n dlel eni
ungukuphela	ungukuphela
amakhasi	a ma khasi
elokhu	e lokhu
bembona	be m bon a
sagxumela	s a gxumel a
imibuzo	i mi buz o
ayaludinga	a ya lu ding a
ukuphupha	u ku phuph a
lakwamahleka	la kwa ma hleka
uyophilisa	u yo phil is a
ukuphambana	u ku phamban a
ngiwakhumbuza	ngi wa khumbuz a
akumsizi	a ku m siz i
luthathe	lu thath e
amathinzane	a ma thinz ane
esezitubela	e se zi tub el a
abaphansi	a ba phansi
usithumele	u si thum el e
wayelubalubeka	w a ye lubalub ek a
uqale	u qal e
wadlulisa	w a dlul is a
ngisethekwini	ngi se thekw ini
angamdleli	a nga m dl el i
ngokwami	ng o kwa mi
wamkhuthaza	w a m khuthaz a
engingumfelwa	e ngi ng u m f el w a
ilangabi	i langabi
baqonde	ba qond e
kudalwe	ku dal w e
baqonda	ba qond a
asefuna	a se fun a
ibuye	i buye
akubange	a ku bang e
ukubhaliswa	u ku bhalis w a
usungamahlamvu	u s u ng a ma hlamvu
ishibhi	i shibhi
ngonyaka	ng o nyaka
silima	si lima
tajewo	tajewo
amane	a mane
uxhwatha	u xhwath a
kuthiwa	ku th iw a
ongalala	o nga lal a
kuthiwe	ku th iw e
umthakathi	u m thakath i
ayekuphethe	a ye ku pheth e
inqawe	i n qawe
wagelekeqeka	w a gelekeq ek a
owayezongena	o w a ye zo ngen a
uyazama	u ya zam a
usesilungwini	u se si lungw ini
isendlini	i se n dl ini
wayilwa	w a yi lw a
singambona	si nga m bon a
ngodaka	ng o daka
namagwababa	n a ma gwababa
makube	ma ku b e
ushanti	u shanti
amazwe	a ma zwe
uqonda	u qond a
ezasegugwini	e za se gugw ini
kwenzeke	kw enz ek e
inja	i n ja
eyilalela	e yi lalel a
kwenzeka	kw enz ek a
amazwi	a ma zw i
agingqike	a gingqik e
babecabanga	b a be cabang a
seliyezwa	se li y ezw a
nezingane	n e zin gane
ngicele	ngi cel e
komuzi	k o mu zi
ngicela	ngi cel a
ehlola	e hlol a
izinkophe	i zin kophe
uqobo	u qobo
nimbeke	ni m bek e
wayetubeke	w a ye tub ek e
nobani	n o bani
bandla	bandla
kwayona	kwa yo na
walesula	w a l esul a
wanyenyeza	w a nyenyez a
phezulu	phezulu
ukuzipheka	u ku zi phek a
selimlandele	se li m landel e
kwabacacela	kw a ba cac el a
sekuyalungiswa	se ku ya lung is w a
baphephile	ba pheph ile
akamnaka	a ka m nak a
ngisafanisa	ngi sa fan is a
ongenalo	o nge na lo
okhalayo	o khal a yo
amangale	a mangal e
ngaphupha	ng a phuph a
ukwenzenjani	u kw enz e njani
isitembu	i si tembu
sengizimisele	se ngi zi m is el e
ebonga	e bong a
iyesaba	i yesab a, i y esab a
nababoshiwe	n a ba bosh iw e
yamkhipha	y a m khiph a
kanomhlanjana	ka n o m hlanj ana
umbala	u m bala
yeyembe	y e yembe
ngesomuntu	ng e s o mu ntu
bayazisebenzela	ba ya zi sebenz el a
bayokuhlasela	ba yo ku hlas el a
eseyicula	e se yi cul a
kubazali	ku ba zal i
ama	a m a
ngqo	ngqo
wayelokbu	wayelokbu
ame	a m e
lisafuna	li sa fun a
ngqi	ngqi
ayesafisa	a ye sa fis a
ufezela	u fezela
umanhlengethwa	u manhlengethwa
ababebandlululwa	a ba be bandlulul w a
bathathwe	ba thath w e
kule	ku le
usoniwe	u s on iw e
ngamaphuphu	ng a ma phuphu
bengingayazi	be ngi nga y azi
kulo	ku lo
ihamba	i hamb a
phuhle	phuhle
abayazi	a ba y azi
kubuye	ku bu y e, ku buy e
isadukelwe	i sa dukel w e
beliqeda	be li qed a
waphoseka	w a phos ek a
ngafelwa	ng a f el w a
zaziphela	z a zi phel a
ebambe	e bamb e
ifa	i f a
babebuza	ba be buz a
kugula	ku gul a
basuse	ba sus e
habe	habe
untombazana	u ntombazana
ukumenza	u ku m enz a
edlulela	e dlulel a
zokulima	z o ku lima
ukubonwa	u ku bon w a
zikatebha	z i katebha
usezwile	u se zw ile
ngicabanga	ngi cabang a
ayebazi	a ye b azi
eyayimqeda	e y a yi m qed a
ngiyombulala	ngi yo m bulal a
bayikhombise	ba yi khomb is e
lamakhehla	l a ma khehla
eziphuzile	e zi phuz ile
okubalulekile	o ku balul ek ile
ngokukhala	ngo ku khal a
kubonga	ku bong a
wangicika	w a ngi cik a
asiyiyeke	a si yi yek e
ngenhlanhla	ng e n hlanhla
ukungenzela	u ku ng enz el a
ozosho	o zo sho
wazithi	w a zi thi
sincokola	si ncokol a
uyindoda	u yindoda
ahlupheke	a hluph ek e
iphi	i phi
nomahazula	n o ma hazula
waze	w a ze
sebehamba	se be hamb a
kithi	ki thi
ongamchazela	o nga m chaz el a
wazi	w azi
kwezindololwane	kw e zin dololwane
abahlonipha	a ba hloniph a
benziwa	b enz iw a
ngiyambuka	ngi ya m buk a
kuzodingeka	ku zo ding ek a
ozolisho	o zo li sho
muhle	mu hle
benyuka	b enyuk a
ibhungane	i bhungane
kanatana	ka natana
yinhle	yi n hle
kabazani	ka ba zani
kusembawuleni	ku se m bawul eni
aphanga	a phang a
liyongena	li yo ngen a
nilale	ni lal e
ishayile	i shay ile
ngingumfundisi	ngi ng u m fund is i
waqonda	w a qond a
esevumile	e se vum ile
isiguqo	i si guq o
kwamntungwa	kwa mn tungwa
bahlenga	ba hleng a
eyabe	e y a be
womfowethu	w o m fowethu
ozithobayo	o zi thob a yo
nokuzimisela	n o ku zi m is el a
amandwandwe	a ma ndwandwe
silapha	si lapha
awuzozwa	a wu zo zw a
yalaba	ya la ba
insumansumane	i n sumansumane
ngisengxakini	ngi se ngxak ini
ikhehla	i khehla
sezimhleka	se zi m hlek a
sengicabanga	se ngi cabang a
engahle	e nga hle
okubulala	o ku bulal a
abaziphatha	a ba zi phath a
kuyadlala	ku ya dlal a
ebesemncane	e be se m ncane
sasho	s a sho
kubhoke	ku bhok e
eyitshela	e yi tshel a
kwalokhu	kwa lo khu
wabo	wa bo
akuzuyiwa	a ku zu y iw a
mayiphume	ma yi phum e
usabhuquza	u sa bhuquz a
ngizibike	ngi zi bik e
kwalokho	kwa lo kh o
nomcabango	n o m cabang o
akazi	a k azi
okwangiqeda	o kw a ngi qed a
ubheke	u bhek e
ungaphumeleli	u nga phumelel i
ubheka	u bhek a
ungikhululela	u ngi khulul el a
yesintu	y e si ntu
banginike	ba ngi nik e
otajewo	o tajewo
angifundise	a ngi fund is e
kukamshini	kuka m shini
ethethisana	e theth is an a
khehla	khehla
kesiye	ke si y e
ezobakhweza	e zo ba khwez a
yindawo	y i n dawo
wayibikela	w a yi bikel a
