sürecek	sür:null ecek:null
başlayacak	başla:null yacak:null
ayağı	ayağ:null ı:null
günlerimde	gün:null ler:null im:null de:null
kabul	kabul:null
polis	polis:null
kursuna	kur:null su:null na:null, kurs:null un:null a:null, kur:null su:null n:null a:null, kurs:null u:null na:null
konuşma	konuşma:null, konuş:null ma:null
kazıklamış	kazıkla:null mış:null
ablacım	abla:null cı:null m:null
radikal'dekileri	
yattığım	yat:null tığ:null ım:null
yattığın	yat:null tığ:null ın:null
iniş	iniş:null, in:null iş:null
kesilecek	kes:null il:null ecek:null
alemde	alem:null de:null
dursa	dur:null sa:null
gelecekte	gelecek:null te:null, gel:null ecek:null te:null
eğlence	eğlence:null
internetten	internet:null ten:null
konuştuklarından	konuş:null tuk:null lar:null ı:null ndan:null, konuş:null tuk:null ları:null ndan:null, konuş:null tuk:null lar:null ın:null dan:null
ali	ali:null
kadıköy'ün	kadıköy:null ':null ün:null
bezini	bez:null in:null i:null, bez:null i:null ni:null
söyledin	söyle:null di:null n:null
söyledim	söyle:null di:null m:null
söyledik	söyle:null dik:null, söyle:null di:null k:null
kediyi	kedi:null yi:null
sanatsal	sanat:null sal:null
parkları	park:null ları:null, park:null lar:null ı:null
ceyda	ceyda:null
çalışsınlar	çalış:null sınlar:null
hallolsun	hallol:null sun:null
eğlenceli	eğlence:null li:null
durur	dur:null ur:null
durup	dur:null up:null
durum	durum:null, duru:null m:null
temizleyeceğim	temizle:null yeceğ:null im:null
arkadaşların	arkadaş:null lar:null ın:null
acayip	acayip:null
ersin	ersin:null
kapakları	kapak:null lar:null ı:null, kapak:null ları:null
yürürüm	yürü:null r:null üm:null
kuzenin	kuzen:null in:null
kuzenim	kuzen:null im:null
yaptırmışlar	yap:null tır:null mış:null lar:null
bildirildi	bil:null dir:null il:null di:null, bildir:null il:null di:null
mehtap	mehtap:null
kahvaltısında	kahvaltı:null sı:null nda:null
sertaç	sertaç:null
öğle	öğle:null
sorumluluk	sorumluluk:null, sorum:null lu:null luk:null, sorumlu:null luk:null
çıkmasın	çık:null ma:null sı:null n:null, çıkma:null sı:null n:null
cuma	cuma:null
basmış	bas:null mış:null
sardı	sar:null dı:null
dostum	dost:null um:null
menderes	menderes:null
havası	hava:null sı:null
hatip'te	
onu	on:null u:null, o:null nu:null
biberlerin	biber:null ler:null in:null
kürek	kürek:null
koyan	koy:null a:null n:null, koy:null an:null
mağduriyeti	mağduriyet:null i:null
balkabağı	balkabağı:null, balkabağ:null ı:null
sulara	sula:null r:null a:null, su:null lar:null a:null
hastalık	hastalık:null, hasta:null lık:null
bunlardan	bu:null nlar:null dan:null, bun:null lar:null dan:null
koyar	koyar:null, koy:null ar:null
ölürsünüz	öl:null ür:null sü:null nüz:null
kayınpederim	kayınpeder:null im:null
olsun	ol:null sun:null, olsun:null
beşiğini	beşiğ:null i:null ni:null, beşiğ:null in:null i:null
başa	baş:null a:null
akşamleyin	akşamleyin:null
kapattırdı	kapa:null t:null tır:null dı:null, kapat:null tır:null dı:null
otele	otel:null e:null
arıza	arıza:null
sizce	siz:null ce:null
sevinç	sevinç:null
karacan'ın	karacan:null ':null ın:null
hastanesi'nin	
masası	masa:null sı:null
dosyayı	dosya:null yı:null
takma	tak:null ma:null, takma:null
abinler	abi:null n:null ler:null
görüşmelerin	görüşme:null ler:null in:null, gör:null üş:null me:null ler:null in:null, görüş:null me:null ler:null in:null
bankası	
öylece	öyle:null ce:null
bahçesinde	bahçe:null si:null nde:null
konuşmak	konuş:null mak:null
bedeli	bedel:null i:null
bulacak	bul:null acak:null
konuşursun	konuş:null ur:null su:null n:null
trakya'da	trakya:null ':null da:null
halledelim	halled:null e:null li:null m:null, halled:null e:null lim:null, halled:null eli:null m:null
dahilimde	dahil:null im:null de:null, dahi:null li:null m:null de:null
şubeler	şube:null ler:null
bitirene	bit:null ir:null en:null e:null, bit:null ir:null e:null n:null e:null
ettirme	et:null tir:null me:null
keyfimize	keyfi:null miz:null e:null, keyf:null imiz:null e:null
arabanın	araba:null nın:null, araban:null ın:null, araba:null n:null ın:null
işlemleri	işlem:null leri:null, işlem:null ler:null i:null
düş	düş:null
işlemlere	işlem:null ler:null e:null
çeyrek	çeyrek:null
bırakabilirim	bırak:null abil:null ir:null im:null
sarmışsın	sar:null mış:null sı:null n:null
naciye'de	naciye:null ':null de:null
ailemi	aile:null mi:null, aile:null m:null i:null
tamamlamak	tamam:null la:null mak:null, tamamla:null mak:null
İspanya	İspanya:null
acı	acı:null
serap'ın	serap:null ':null ın:null
aniden	ani:null den:null, aniden:null
paramız	para:null mız:null
üstüne	üst:null ün:null e:null, üst:null ü:null ne:null, üstün:null e:null
arkadaşım	arkadaş:null ım:null
arkadaşın	arkadaş:null ın:null
kızarmış	kızar:null mış:null
hoş	hoş:null
ilana	ilan:null a:null
kalmaya	kal:null ma:null ya:null, kalma:null ya:null, kal:null may:null a:null
nisan	nisa:null n:null, nisan:null
sağlığının	sağ:null lığ:null ı:null nın:null, sağlığ:null ı:null nın:null, sağlığ:null ın:null ın:null, sağ:null lığ:null ın:null ın:null
koyacak	koy:null acak:null
ayakkabılarını	ayakkabı:null lar:null ın:null ı:null, ayakkabı:null ları:null nı:null, ayakkabı:null lar:null ı:null nı:null
izinlerden	izin:null ler:null den:null
gitsek	git:null se:null k:null
Çağan	Çağan:null, Çağa:null n:null
gitsen	git:null se:null n:null
gitsem	git:null se:null m:null
arkadaşlarına	arkadaş:null ları:null na:null, arkadaş:null lar:null ı:null na:null, arkadaş:null lar:null ın:null a:null
atman	at:null ma:null n:null
bağlı	bağlı:null, bağ:null lı:null
komedi	komedi:null
ettiğini	et:null tiğ:null in:null i:null, et:null tiğ:null i:null ni:null
inayeti	inayet:null i:null
boşuna	boş:null u:null na:null, boş:null un:null a:null, boşuna:null
rusya'da	rusya:null ':null da:null
yener	yener:null
özellikle	özellikle:null
mahkeme	mahkeme:null
sabri	sabri:null
geçmiş	geç:null miş:null, geçmiş:null
görmeye	gör:null me:null ye:null, gör:null mey:null e:null
bakanlığı'na	
yiyince	yi:null yince:null
sağ	sağ:null
Şubatı	
yatırabilecek	yat:null ır:null abil:null ecek:null
tabii	tabii:null
oranın	ora:null nın:null, oran:null ın:null, ora:null n:null ın:null
fenerbahçe'de	fenerbahçe:null ':null de:null
biner	bin:null er:null
takıldım	tak:null ıl:null dı:null m:null
takıldık	tak:null ıl:null dı:null k:null, tak:null ıl:null dık:null
aynaya	ayna:null ya:null
meksika'da	meksika:null ':null da:null
deyip	deyip:null
dışarıda	dışarı:null da:null
üf	üf:null
çalıştığın	çalış:null tığ:null ın:null
bas	bas:null
bakış	bak:null ış:null, bakış:null
bal	bal:null
bak	bak:null
onur	onur:null
ozan	ozan:null
girmeye	gir:null me:null ye:null, gir:null mey:null e:null
yaptığımızı	yap:null tığ:null ımız:null ı:null
takımımız	takım:null ımız:null
burcu	burc:null u:null, burcu:null
veren	ver:null e:null n:null, vere:null n:null, ver:null en:null
girmeyi	gir:null mey:null i:null, gir:null me:null yi:null
yazdım	yaz:null dı:null m:null
yediniz	ye:null di:null niz:null, yedi:null niz:null
alıcı	alıcı:null, al:null ıcı:null
fidesi	fide:null si:null
belirtildi	belirt:null il:null di:null, belir:null t:null il:null di:null
yüzünü	yüz:null ün:null ü:null, yüz:null ü:null nü:null
çapında	çap:null ı:null nda:null, çap:null ın:null da:null
unutacak	unut:null acak:null
gittiğimde	git:null tiğ:null im:null de:null
seçtim	seç:null ti:null m:null
dereceniz	dere:null ce:null niz:null, derece:null niz:null, der:null e:null ce:null niz:null
Çeviri	
amcamın	amca:null m:null ın:null
sistemler	sistem:null ler:null
bizler	bizler:null
falan	fa:null lan:null, falan:null
teselli	teselli:null
naciye'ye	naciye:null ':null ye:null
kapadokya'ya	kapadokya:null ':null ya:null
hasip	hasip:null
numarası	numara:null sı:null
serinliğinden	serin:null liğ:null i:null nden:null, serin:null liğ:null in:null den:null
ilgın	ilgı:null n:null, ilgın:null
san	san:null
şeylere	şey:null ler:null e:null
uç	uç:null
ayak	ayak:null
maçlar	maç:null lar:null
kulübünü	kulüb:null ü:null nü:null, kulüb:null ün:null ü:null
şeyleri	şey:null leri:null, şey:null ler:null i:null
sakalım	saka:null lı:null m:null, sakal:null ım:null
ayaz	ayaz:null
rüya	rüya:null
fener'e	fener:null ':null e:null
muyum	mu:null yum:null
akın	akı:null n:null, akın:null, ak:null ın:null
değiştirdi	değiş:null tir:null di:null
akıl	ak:null ıl:null, akıl:null
irmak	irmak:null
doğa	doğa:null, doğ:null a:null
yöneltecek	yönel:null t:null ecek:null
sandım	san:null dı:null m:null
ablamlar	abla:null m:null lar:null
muyuz	mu:null yuz:null
doğu	doğu:null
akıp	ak:null ıp:null
onunki	on:null un:null ki:null, o:null nun:null ki:null
olanlar	ol:null an:null lar:null
münire	münir:null e:null, münire:null
enes	enes:null
tane	tane:null
say	say:null
edirne	edirne:null
servis	servis:null
elimi	el:null im:null i:null, elim:null i:null, el:null i:null mi:null
kapmış	kap:null mış:null
seven	sev:null e:null n:null, sev:null en:null, seve:null n:null
alamam	a:null la:null ma:null m:null
ip	ip:null
doğuş	doğuş:null
jest	jest:null
in	in:null
naz	naz:null
bitkilerin	bitki:null ler:null in:null
sever	sev:null er:null
yenildikten	ye:null nil:null dik:null ten:null, yen:null il:null dik:null ten:null
içtiniz	iç:null ti:null niz:null
belli	belli:null, bel:null li:null
çorbanın	çorba:null nın:null, çorba:null n:null ın:null
ortalarında	ortala:null r:null ı:null nda:null, orta:null ları:null nda:null, orta:null lar:null ın:null da:null, orta:null lar:null ı:null nda:null, ortala:null r:null ın:null da:null
oradakileri	ora:null da:null ki:null ler:null i:null, ora:null da:null ki:null leri:null
arkadaşımız	arkadaş:null ımız:null
pastası	pasta:null sı:null
elli	elli:null, el:null li:null
kasımpaşa	kasımpaşa:null
futbolu	futbol:null u:null
tavuk	tavuk:null
kit	kit:null
kişilerin	kişi:null ler:null in:null
kim	kim:null
beğenmiş	beğen:null miş:null
sıkıcı	sık:null ıcı:null, sıkı:null cı:null
fideler	fide:null ler:null, fidele:null r:null
yürümeye	yürü:null mey:null e:null, yürü:null me:null ye:null
turhan	turhan:null
valizlerimi	valiz:null ler:null im:null i:null, valiz:null ler:null i:null mi:null, valiz:null leri:null mi:null
adli	
yemeğimi	yemeğ:null i:null mi:null, yemeğ:null im:null i:null, ye:null meğ:null i:null mi:null
kişiyi	kişi:null yi:null
ellerinde	el:null ler:null i:null nde:null, elle:null r:null in:null de:null, el:null leri:null nde:null, el:null ler:null in:null de:null, elle:null r:null i:null nde:null
halledebilirim	halled:null ebil:null ir:null im:null
konferans	konferans:null
pınar	pınar:null
baktı	bak:null tı:null
oryantal	oryantal:null
yem	yem:null
versek	ver:null se:null k:null
kıyı	kıyı:null
kategoriye	kategori:null ye:null
bakıp	bak:null ıp:null
yer	yer:null, ye:null r:null
adresi	adres:null i:null
gökçen	gökçe:null n:null, gökçen:null
programında	program:null ı:null nda:null, program:null ın:null da:null
gökçek	gökçek:null
gülecek	gül:null ecek:null
doğratmak	doğra:null t:null mak:null
yutacak	yut:null acak:null
kalma	kal:null ma:null, kalma:null
işi	iş:null i:null
dikmeye	dik:null me:null ye:null, dik:null mey:null e:null
pisine	pis:null in:null e:null, pis:null i:null ne:null, pisi:null n:null e:null
tatlıyı	tatlı:null yı:null, tat:null lı:null yı:null
ahmet'i	ahmet:null ':null i:null
işe	iş:null e:null, işe:null
kuzenime	kuzen:null im:null e:null
vazgeçmişler	vazgeç:null miş:null ler:null
yaştan	yaş:null tan:null
anlatmış	anlat:null mış:null, anla:null t:null mış:null
kamil	kamil:null
buzdolabı	buzdolabı:null, buzdolab:null ı:null
kaza	kaz:null a:null, kaza:null
inişe	iniş:null e:null, in:null iş:null e:null
kupasını	kupa:null sı:null nı:null
yolunun	yol:null un:null un:null, yol:null u:null nun:null
doğrudan	doğrudan:null, doğru:null dan:null
hepsinden	hep:null si:null n:null den:null, hep:null si:null nden:null
sehpa	sehpa:null
cinsiyeti	cinsiyet:null i:null
yaprak	yaprak:null
sakatlanmasın	sakatla:null n:null ma:null sı:null n:null, sakat:null lan:null ma:null sı:null n:null
karadeniz	karadeniz:null
söylemene	söyle:null me:null n:null e:null
iyice	iyi:null ce:null
uydu	uydu:null, uy:null du:null
gösterdiler	göster:null di:null ler:null
hayatına	hayat:null ın:null a:null, hayat:null ı:null na:null
bura	bura:null
cafer	cafer:null
pazardan	pazar:null dan:null
buketler	buket:null ler:null
büyüdüm	büyü:null dü:null m:null
kuaförler	kuaför:null ler:null
tasarımdan	tasar:null ım:null dan:null, tasarı:null m:null dan:null, tasarım:null dan:null
uğraş	uğraş:null
siyah	siyah:null
duymasın	duy:null ma:null sı:null n:null
yakup	yakup:null
kaptı	kap:null tı:null
şehir	şehir:null
erkene	erken:null e:null, erke:null n:null e:null
akıllı	akıllı:null, akıl:null lı:null
ünlü	ünlü:null, ün:null lü:null
hamdi	hamdi:null
görmüşler	gör:null müş:null ler:null
eksik	eksik:null
günah	günah:null
hayatından	hayat:null ı:null ndan:null, hayat:null ın:null dan:null
burdan	bur:null dan:null
bakarsın	bak:null ar:null sı:null n:null
beddua	beddua:null
yazılılardan	yazı:null lı:null lar:null dan:null, yazılı:null lar:null dan:null
sitesi'ni	
götürmüş	götür:null müş:null
verecek	ver:null ecek:null
gönderin	gönder:null in:null, gönderi:null n:null
arabaların	araba:null lar:null ın:null
Çengel'e	
azaltmak	azal:null t:null mak:null
çıkalım	çık:null alı:null m:null, çık:null a:null lım:null, çık:null a:null lı:null m:null, çıka:null lı:null m:null
form	form:null
gavurca	gavur:null ca:null
gözü	göz:null ü:null
otogara	otogar:null a:null
gülü	gül:null ü:null
iftara	iftar:null a:null
ateşli	ateş:null li:null
bakkal	bakkal:null
havaalanında	havaalan:null ı:null nda:null, havaalanı:null n:null da:null, havaalanı:null nda:null
düzeltirsin	düzel:null t:null ir:null si:null n:null, düzelt:null ir:null si:null n:null
ordakine	or:null da:null ki:null ne:null, or:null da:null ki:null n:null e:null
dilerim	di:null ler:null im:null, dil:null er:null im:null, dile:null r:null im:null
anlayınca	anla:null yınca:null
aradığında	ara:null dığ:null ın:null da:null, ara:null dığ:null ı:null nda:null
başçavuş	başçavuş:null
zenginleri	zengin:null leri:null, zenginle:null r:null i:null, zengin:null ler:null i:null
bilgiye	bilgi:null ye:null
fırında	fır:null ı:null nda:null, fırın:null da:null, fır:null ın:null da:null
getirdiniz	getir:null di:null niz:null
arkadaşları	arkadaş:null ları:null, arkadaş:null lar:null ı:null
migros'ta	migros:null ':null ta:null
koltuğun	koltuğ:null un:null
gazi	gazi:null
tutarsınız	tutar:null sı:null nız:null, tut:null ar:null sı:null nız:null
maaşsız	maaş:null sız:null
çetin	çetin:null
hazırlıkların	hazırlık:null lar:null ın:null, hazır:null lık:null lar:null ın:null
hayatta	hayat:null ta:null
sınıfın	sınıf:null ın:null
fizik	
ankara'ya	ankara:null ':null ya:null
iyicene	iyi:null cene:null, iyicene:null, iyi:null ce:null n:null e:null
esra'dan	esra:null ':null dan:null
davranmak	davran:null mak:null
yazılısı	yazı:null lı:null sı:null, yazılı:null sı:null
tertemiz	tertemiz:null
toplum	top:null lu:null m:null, toplum:null, toplu:null m:null
maraba	maraba:null
bakkalı	bakkal:null ı:null
göreceğim	gör:null eceğ:null im:null
çekilecek	çekil:null ecek:null, çek:null il:null ecek:null
komşunun	komşu:null n:null un:null, komşu:null nun:null
geçtikçe	geç:null tikçe:null, geç:null tik:null çe:null
ondan	o:null ndan:null, on:null dan:null
kur'an	kur'an:null
göreceğiz	gör:null e:null ceğiz:null, göre:null ceğiz:null
sevdiğini	sev:null diğ:null in:null i:null, sev:null diğ:null i:null ni:null
beynindeki	beyn:null i:null nde:null ki:null, beyn:null in:null de:null ki:null
yaza	yaz:null a:null
telefon	telefon:null
beğendim	beğen:null di:null m:null
beğendin	beğen:null di:null n:null
vücut	vücut:null
durumda	durum:null da:null, duru:null m:null da:null
Ümit	Ümit:null
ender'i	ender:null ':null i:null
değerlendirelim	değer:null len:null dir:null eli:null m:null, değer:null len:null dir:null e:null li:null m:null, değ:null er:null len:null dir:null eli:null m:null, değ:null er:null len:null dir:null e:null lim:null, değ:null er:null len:null dir:null e:null li:null m:null, değer:null len:null dir:null e:null lim:null
katkı	katkı:null
kırk	kırk:null
kırmış	kır:null mış:null
yengemlerde	yenge:null m:null ler:null de:null
ozan'ı	ozan:null ':null ı:null
lekeyi	leke:null yi:null
kalır	kal:null ır:null
aklımda	aklımda:null, ak:null lı:null m:null da:null, akl:null ım:null da:null
tatilin	tatil:null in:null
kadro	kadro:null
sözde	söz:null de:null, sözde:null
kalın	kalın:null, kal:null ın:null
boşver	boşver:null
dil	dil:null
korusun	koru:null sun:null
sevin	sevi:null n:null, sevin:null, sev:null in:null
neyine	ney:null i:null ne:null, ne:null yin:null e:null, ney:null in:null e:null, ne:null yi:null ne:null
semtte	semt:null te:null
furkan	furkan:null
emeğimizi	emeğ:null imiz:null i:null
zevkini	zevk:null in:null i:null, zevk:null i:null ni:null
dip	dip:null
çivili	çivi:null li:null
içi	içi:null, iç:null i:null
narlıca	
kameraya	kamera:null ya:null
minibüsler	minibüs:null ler:null
oturdukça	otur:null dukça:null, otur:null duk:null ça:null
kitaplarını	kitap:null lar:null ı:null nı:null, kitap:null ları:null nı:null, kitap:null lar:null ın:null ı:null
arkasını	arka:null sı:null nı:null, arka:null sı:null n:null ı:null
mevlüt	mevlüt:null
sayfa	sayfa:null
olayı	olay:null ı:null, ol:null a:null yı:null
yeri	yer:null i:null, ye:null r:null i:null
ciğerimiz	ciğer:null imiz:null
konuşması	konuş:null ma:null sı:null, konuşma:null sı:null
terörist	terörist:null
ilaç	ilaç:null
kalacağız	kala:null cağız:null, kal:null a:null cağız:null
ayından	ayın:null dan:null, ayı:null n:null dan:null, ay:null ı:null ndan:null, ay:null ın:null dan:null
hayattan	hayat:null tan:null
annene	anne:null n:null e:null
orayı	ora:null yı:null
çalışmasına	çalışma:null sı:null na:null, çalış:null ma:null sı:null n:null a:null, çalış:null ma:null sı:null na:null
titreşim	titreşim:null
merakımdan	merak:null ım:null dan:null
iletişim	ilet:null iş:null im:null, iletişim:null
değiştirdiğinde	değiş:null tir:null diğ:null in:null de:null, değiş:null tir:null diğ:null i:null nde:null
dualarım	dua:null lar:null ım:null
karıştı	karış:null tı:null
fiyata	fiyat:null a:null
derin	der:null in:null, deri:null n:null, derin:null, de:null r:null in:null
derim	deri:null m:null, de:null r:null im:null
insan	insan:null
şaka	şaka:null, şak:null a:null
bok	bok:null
bol	bol:null
kötü	kötü:null
okuyacağım	oku:null yacağ:null ım:null
indim	in:null di:null m:null
önemi	ön:null e:null mi:null, önem:null i:null
içeceksin	içecek:null si:null n:null, iç:null ecek:null si:null n:null
sosyalden	sosyal:null den:null
güncemi	gün:null ce:null m:null i:null, günce:null mi:null, günce:null m:null i:null, gün:null ce:null mi:null
pişirmek	piş:null ir:null mek:null
stilime	stil:null im:null e:null
normalde	normal:null de:null
vergi	vergi:null
dağıttı	dağıt:null tı:null
bolat	bolat:null
kullanıp	kullan:null ıp:null, kul:null lan:null ıp:null
otobüsler	otobüs:null ler:null
şeyler	şey:null ler:null
yalandan	yalan:null dan:null
çevirim	çevirim:null, çeviri:null m:null
bankalara	banka:null lar:null a:null
kırıldığını	kır:null ıl:null dığ:null ın:null ı:null, kır:null ıl:null dığ:null ı:null nı:null
geç	geç:null
etüdü	etüd:null ü:null
alanından	al:null an:null ı:null ndan:null, alan:null ın:null dan:null, al:null an:null ın:null dan:null, alan:null ı:null ndan:null
sultan	sultan:null
yönetiminin	yönetim:null i:null nin:null, yönetim:null in:null in:null
dünkülerden	d:null ün:null kü:null ler:null den:null, dün:null kü:null ler:null den:null
berabere	beraber:null e:null
çatlasın	çatla:null sın:null, çat:null la:null sın:null
jöleli	jöle:null li:null
bey	
kıyafetler	kıyafet:null ler:null
çoksa	çoksa:null
Ümraniye'ye	Ümraniye:null ':null ye:null
üzerimde	üz:null er:null im:null de:null, üzer:null im:null de:null
serhan	serhan:null
tatilinden	tatil:null i:null nden:null, tatil:null in:null den:null
ortalaması	ortalama:null sı:null, ortala:null ma:null sı:null
beşiktaş'ı	beşiktaş:null ':null ı:null
ikramiyemiz	ikramiye:null miz:null
biter	bit:null er:null
makina	makina:null
mühendis	mühendis:null
arkadaşlarının	arkadaş:null lar:null ı:null nın:null, arkadaş:null ları:null nın:null, arkadaş:null lar:null ın:null ın:null
kınayı	kına:null yı:null
kucakla	kucakla:null
aşamada	aşama:null da:null
ölümü	ölü:null m:null ü:null, ölü:null mü:null, ölüm:null ü:null
kullanın	kul:null lan:null ın:null, kullan:null ın:null
götü	göt:null ü:null
trabzon'da	trabzon:null ':null da:null
olmalısınız	ol:null ma:null lı:null sı:null nız:null
gerze	gerze:null
çizgi	çizgi:null
miraç	miraç:null
inerim	in:null er:null im:null
yaşamaya	yaşa:null may:null a:null, yaşa:null ma:null ya:null, yaşama:null ya:null
ağrıttı	ağrı:null t:null tı:null
maliye	mali:null ye:null, maliye:null
yaşadım	yaşa:null dı:null m:null
yerleri	yer:null ler:null i:null, ye:null r:null ler:null i:null, ye:null r:null leri:null, yer:null leri:null
oltaya	olta:null ya:null
yerlere	yer:null ler:null e:null, ye:null r:null ler:null e:null
kurnaz	kurnaz:null
ağabeyinler	ağabey:null in:null ler:null
verdiği	ver:null diğ:null i:null
eda	eda:null
neci	neci:null, ne:null ci:null
prostat	prostat:null
canını	can:null ı:null nı:null, can:null ın:null ı:null
vizyona	vizyon:null a:null
buluşalım	bul:null uş:null a:null lım:null, bul:null uş:null a:null lı:null m:null, buluş:null a:null lım:null, bul:null uş:null alı:null m:null, buluş:null alı:null m:null, buluş:null a:null lı:null m:null
yapmışım	yap:null mış:null ım:null
dışına	dış:null ın:null a:null, dış:null ı:null na:null, dışı:null n:null a:null
sırada	sıra:null da:null
hafiften	hafif:null ten:null
kulak	kulak:null
yükseldiği	yüksel:null diğ:null i:null
eylülün	eylül:null ün:null
iyisin	iyi:null si:null n:null
sözümüzde	söz:null ümüz:null de:null
altı	alt:null ı:null, altı:null
ipte	ip:null te:null
yazılıdan	yazı:null lı:null dan:null, yazılı:null dan:null
erzincan	erzincan:null
hallettiniz	hallet:null ti:null niz:null
günleri	gün:null ler:null i:null, gün:null leri:null
halkı	halk:null ı:null
çıkartır	çıkar:null t:null ır:null, çık:null ar:null t:null ır:null
Öznurlar	Öznur:null lar:null
çekyat	çekyat:null
muhalif	muhalif:null
koordinatörü	koordinatör:null ü:null
etkinlik	etkin:null lik:null, etkinlik:null
çocuğun	çocuğ:null un:null
müzayede	müzayede:null
beyhan	beyhan:null
yarıdaki	yarı:null da:null ki:null
müzeye	müze:null ye:null
yoğruldun	yoğr:null ul:null du:null n:null
aşağıdan	aşağı:null dan:null
matematiği	matematiğ:null i:null
marmara'da	marmara:null ':null da:null
beklediler	bekle:null di:null ler:null
görüşte	gör:null üş:null te:null, görüş:null te:null
kırdın	kır:null dı:null n:null, kırdı:null n:null
adres	adres:null
imzaları	imza:null lar:null ı:null, imza:null ları:null, imzala:null r:null ı:null
yaren'i	yaren:null ':null i:null
önünü	ön:null ü:null nü:null, ön:null ün:null ü:null
odada	oda:null da:null
ağustos	
Şubat	
karı	karı:null, kar:null ı:null
kesinlikle	kesinlikle:null
ufak	ufak:null
tanıtım	tanıt:null ım:null, tanıtım:null
konuşsun	kon:null uş:null su:null n:null, konuş:null sun:null
diyebilirim	di:null yebil:null ir:null im:null
haydi	haydi:null
girecekler	gir:null ecek:null ler:null
şalım	şal:null ım:null
anlaşılan	an:null laş:null ıl:null a:null n:null, an:null laş:null ıl:null an:null, anlaş:null ıl:null a:null n:null, anlaş:null ıl:null an:null, anla:null şıl:null a:null n:null, anla:null şıl:null an:null
yurt	yurt:null
geçindirmeyi	geçin:null dir:null me:null yi:null, geçin:null dir:null mey:null i:null
sözleşmeli	söz:null leş:null meli:null, söz:null leş:null me:null li:null, sözleş:null me:null li:null, sözleş:null meli:null, sözleşme:null li:null
kabahat	kabahat:null
albümleri	albüm:null ler:null i:null, albüm:null leri:null
yiğit	yiğit:null
netini	net:null in:null i:null, net:null i:null ni:null
ora	ora:null
uğrama	uğra:null m:null a:null, uğra:null ma:null
götürebilir	götür:null ebil:null ir:null
ramazanda	ramazan:null da:null
öper	öp:null er:null
apo	apo:null
baki	baki:null
puanları	puan:null lar:null ı:null, puanla:null r:null ı:null, puan:null ları:null
yugoslavya	yugoslavya:null
denemeyi	dene:null me:null yi:null, dene:null mey:null i:null, deneme:null yi:null
çalışır	çalış:null ır:null
elime	el:null im:null e:null, elim:null e:null
derece	dere:null ce:null, derece:null, der:null e:null ce:null
demişsiniz	de:null miş:null si:null niz:null
şartları	şart:null lar:null ı:null, şart:null ları:null, şartla:null r:null ı:null
elazığ	elazığ:null
ocağıma	ocağ:null ım:null a:null
yasak	yasak:null
kupayı	kupa:null yı:null
bayburt	bayburt:null
osman	osman:null
İngiltere'nin	İngiltere:null ':null n:null in:null, İngiltere:null ':null nin:null
kıvır	kıvır:null
bakanlığı'nın	
süre	süre:null, sür:null e:null
yüzmüş	yüz:null müş:null
gerisi	geri:null si:null
kaybetti	kaybet:null ti:null
görüşelim	gör:null üş:null e:null lim:null, gör:null üş:null eli:null m:null, gör:null üş:null e:null li:null m:null, görüş:null e:null lim:null, görüş:null eli:null m:null, görüş:null e:null li:null m:null
taraftarsız	taraftar:null sız:null
araman	ara:null ma:null n:null, ara:null m:null a:null n:null
aramam	ara:null ma:null m:null, ara:null m:null a:null m:null
ekmek	ekmek:null, ek:null mek:null
aramak	ara:null mak:null
geldim	gel:null di:null m:null
geldin	gel:null di:null n:null
geldik	gel:null dik:null, gel:null di:null k:null
kalmaları	kalma:null ları:null, kalma:null lar:null ı:null, kal:null ma:null ları:null, kal:null ma:null lar:null ı:null
içerde	iç:null er:null de:null, içer:null de:null
beşiktaşlı	beşiktaş:null lı:null
alacaksın	alacak:null sı:null n:null, al:null acak:null sı:null n:null
zamanları	zaman:null lar:null ı:null, zamanla:null r:null ı:null, zaman:null ları:null
temizlenmesi	temizle:null n:null me:null si:null, temiz:null len:null me:null si:null
köpeğe	köpeğ:null e:null
vücudumda	vücud:null um:null da:null
telefonumda	telefon:null um:null da:null
köpeği	köpeğ:null i:null
sınava	sınav:null a:null
yatakta	yatak:null ta:null
hüzünlü	hüzün:null lü:null
malzemeleri	malzeme:null ler:null i:null, malzeme:null leri:null
geçer	geç:null er:null, geçer:null
lisesi	
önerdi	öner:null di:null
orada	ora:null da:null
geçen	geçe:null n:null, geç:null en:null, geç:null e:null n:null
temizleteceğim	temizle:null t:null eceğ:null im:null
deneyeceğim	dene:null yeceğ:null im:null
yapabilirim	yap:null abil:null ir:null im:null
beğendiğim	beğen:null diğ:null im:null
normal	normal:null
yelek	yelek:null
fenerlilere	fener:null li:null ler:null e:null
yaslarsın	yasla:null r:null sı:null n:null
açmışım	aç:null mış:null ım:null
hayatında	hayat:null ı:null nda:null, hayat:null ın:null da:null
arkasında	arka:null sı:null nda:null, arka:null sı:null n:null da:null
çıkartmışlar	çıkar:null t:null mış:null lar:null, çık:null ar:null t:null mış:null lar:null
otuz	otuz:null
otur	otur:null
getirdik	getir:null dik:null, getir:null di:null k:null
getirdim	getir:null di:null m:null
getirdin	getir:null di:null n:null
amir	amir:null
buyrun	buyrun:null
takip	takip:null
kırık	kırık:null
trenin	tren:null in:null
kırın	kır:null ın:null, kırın:null
güvenliğe	güven:null liğ:null e:null, güvenliğ:null e:null
anneni	anne:null n:null i:null
evlense	ev:null len:null se:null, evlen:null se:null
oralar	ora:null lar:null
